1001;dupond;alexandre;alexandre.dupond@gmail.com;06.18.85.46.62;rennes
1002;durand;nicolas;nicolas.durand@gmail.com;06.21.52.03.41;rennes
1003;renault;julien;julien.renault@gmail.com;06.18.85.46.63;rennes
1004;michel;marie;marie.michel@gmail.com;06.21.52.03.42;rennes
1005;martin;laura;laura.martin@gmail.com;06.18.85.46.64;rennes
1006;bernard;julie;julie.bernard@gmail.com;06.21.52.03.43;rennes
1007;thomas;quentin;quentin.thomas@gmail.com;06.18.85.46.65;rennes
1008;petit;jeremy;jeremy.petit@gmail.com;06.21.52.03.44;redon
1009;robert;sarah;sarah.robert@gmail.com;06.18.85.46.66;redon
1010;richard;kevin;kevin.richard@gmail.com;06.21.52.03.45;redon
1011;dubois;maxime;maxime.dubois@gmail.com;06.18.85.46.67;redon
1012;moreau;elodie;elodie.moreau@gmail.com;06.21.52.03.46;redon
1013;lefebvre;celine;celine.lefebvre@gmail.com;06.18.85.46.68;redon
1014;morel;manon;manon.morel@gmail.com;06.21.52.03.47;redon
1015;fournier;camille;camille.fournier@gmail.com;06.18.85.46.69;bruz
1016;roux;florian;florian.roux@gmail.com;06.21.52.03.48;bruz
1017;leroy;antoine;antoine.leroy@gmail.com;06.18.85.46.70;bruz
1018;girard;emma;emma.girard@gmail.com;06.21.52.03.49;bruz
1019;bertrand;lea;lea.bertrand@gmail.com;06.18.85.46.71;bruz
1020;simon;anna;anna.simon@gmail.com;06.21.52.03.50;bruz
1021;legrand;louise;louise.legrand@gmail.com;06.18.85.46.72;bruz
